Rank,Keyword,Monthly Vol,CPC,Score,Competitor Sources,Example Competitor URL,Build Slug
428,"roth ira estate planning",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/roth-ira-estate-planning","/roth-ira-estate-planning"
429,"signs of tax fraud",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/signs-of-tax-fraud","/signs-of-tax-fraud"
430,"tax efficient investing video",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/tax-efficient-investing-video","/tax-efficient-investing-video"
431,"tax filing best practices",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/tax-filing-best-practices","/tax-filing-best-practices"
432,"year end tax tips",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/year-end-tax-tips","/year-end-tax-tips"
433,"tax smart money moves",0,0,0,1,"https://www.fidelity.com/learning-center/women-talk-money/tax-smart-money-moves","/tax-smart-money-moves"
434,"tax reform advisory fees",0,0,0,1,"https://www.fidelity.com/managed-accounts/tax-reform-advisory-fees","/tax-reform-advisory-fees"
435,"income producing fidelity funds",0,0,0,1,"https://www.fidelity.com/mutual-funds/mutual-fund-spotlights/income-producing-fidelity-funds","/income-producing-fidelity-funds"
436,"401k rollover ira steps",0,0,0,1,"https://www.fidelity.com/retirement-ira/401k-rollover-ira-steps","/401k-rollover-ira-steps"
437,"estimate social security benefits",0,0,0,1,"https://www.fidelity.com/retirement-planning/estimate-social-security-benefits","/estimate-social-security-benefits"
438,"plan to generate income",0,0,0,1,"https://www.fidelity.com/retirement-planning/plan-to-generate-income","/plan-to-generate-income"
439,"guide for tax forms",0,0,0,1,"https://www.fidelity.com/tax-information/guide-for-tax-forms","/guide-for-tax-forms"
440,"royalty trust tax information",0,0,0,1,"https://www.fidelity.com/tax-information/royalty-trust-tax-information","/royalty-trust-tax-information"
441,"taking money from 401k",0,0,0,1,"https://www.fidelity.com/viewpoints/financial-basics/taking-money-from-401k","/taking-money-from-401k"
442,"quarterly fixed income perspectives",0,0,0,1,"https://www.fidelity.com/viewpoints/quarterly-fixed-income-perspectives","/quarterly-fixed-income-perspectives"
443,"ira things to know",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/ira-things-to-know","/ira-things-to-know"
444,"irs 401k rollover guidance",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/irs-401k-rollover-guidance","/irs-401k-rollover-guidance"
445,"protect your retirement income",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/protect-your-retirement-income","/protect-your-retirement-income"
446,"social security at 62",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/social-security-at-62","/social-security-at-62"
447,"traditional or roth ira",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/traditional-or-roth-ira","/traditional-or-roth-ira"
448,"generation skipping transfer tax",0,0,0,1,"https://www.fidelity.com/viewpoints/wealth-management/insights/generation-skipping-transfer-tax","/generation-skipping-transfer-tax"
449,"tax smart investing planning",0,0,0,1,"https://www.fidelity.com/wealth-management/tax-smart-investing-planning","/tax-smart-investing-planning"
450,"529 plan tax benefits",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/education-planning/529-plan-tax-benefits","/529-plan-tax-benefits"
451,"tax identity theft checklist",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/personal-finance/tax-identity-theft-checklist","/tax-identity-theft-checklist"
452,"ira to roth conversion",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/ira-to-roth-conversion","/ira-to-roth-conversion"
453,"social security survivor benefits",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/social-security-survivor-benefits","/social-security-survivor-benefits"
454,"tax strategies early retirement",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/tax-strategies-early-retirement","/tax-strategies-early-retirement"
455,"when should i retire",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/retirement/when-should-i-retire","/when-should-i-retire"
456,"retirement limits tax brackets",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/retirement-limits-tax-brackets","/retirement-limits-tax-brackets"
457,"tax deductions tax credits",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/tax-deductions-tax-credits","/tax-deductions-tax-credits"
458,"tax statement mailing dates",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/tax-statement-mailing-dates","/tax-statement-mailing-dates"
459,"marginal tax rate calculator",0,0,0,1,"https://www.ameriprise.com/financial-news-research/financial-calculators/marginal-tax-rate-calculator","/marginal-tax-rate-calculator"
460,"simple federal tax calculator",0,0,0,1,"https://www.ameriprise.com/financial-news-research/financial-calculators/simple-federal-tax-calculator","/simple-federal-tax-calculator"
461,"social security benefit calculator",0,0,0,1,"https://www.ameriprise.com/financial-news-research/financial-calculators/social-security-benefit-calculator","/social-security-benefit-calculator"
462,"ira contribution limits eligibility",0,0,0,1,"https://www.ameriprise.com/products/investments/iras-retirement-plans/ira-contribution-limits-eligibility","/ira-contribution-limits-eligibility"
463,"historical tax rates",0,0,0,1,"https://www.paycheckcity.com/payroll-resources/alabama/historical-tax-rates","/historical-tax-rates"
464,"401k contributions limit",0,0,0,1,"https://www.paycheckcity.com/insights/401k-contributions-limit","/401k-contributions-limit"
465,"california payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/california-payroll-taxes","/california-payroll-taxes"
466,"colorado tax information",0,0,0,1,"https://www.paycheckcity.com/insights/colorado-tax-information","/colorado-tax-information"
467,"new york payroll",0,0,0,1,"https://www.paycheckcity.com/insights/new-york-payroll","/new-york-payroll"
468,"what taxes do olympic medalists have to pay",0,0,0,1,"https://www.paycheckcity.com/insights/what-taxes-do-olympic-medalists-have-to-pay","/what-taxes-do-olympic-medalists-have-to-pay"
469,"401k early withdrawal",0,0,0,1,"https://www.paycheckcity.com/insights/401k-early-withdrawal","/401k-early-withdrawal"
470,"new years resolution can help boost personal finance",0,0,0,1,"https://www.paycheckcity.com/insights/new-years-resolution-can-help-boost-personal-finance","/new-years-resolution-can-help-boost-personal-finance"
471,"frivolous tax arguments",0,0,0,1,"https://www.paycheckcity.com/insights/frivolous-tax-arguments","/frivolous-tax-arguments"
472,"gross income defined",0,0,0,1,"https://www.paycheckcity.com/insights/gross-income-defined","/gross-income-defined"
473,"payroll and geolocation",0,0,0,1,"https://www.paycheckcity.com/insights/payroll-and-geolocation","/payroll-and-geolocation"
474,"california tax 2015",0,0,0,1,"https://www.paycheckcity.com/insights/california-tax-2015","/california-tax-2015"
475,"ohio payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/ohio-payroll-taxes","/ohio-payroll-taxes"
476,"georgia payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/georgia-payroll-taxes","/georgia-payroll-taxes"
477,"texas payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/texas-payroll-taxes","/texas-payroll-taxes"
478,"florida payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/florida-payroll-taxes","/florida-payroll-taxes"
479,"michigan payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/michigan-payroll-taxes","/michigan-payroll-taxes"
480,"connecticut tax information",0,0,0,1,"https://www.paycheckcity.com/insights/connecticut-tax-information","/connecticut-tax-information"
481,"illinois payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/illinois-payroll-taxes","/illinois-payroll-taxes"
482,"your source for 2016 louisiana state withholding taxes",0,0,0,1,"https://www.paycheckcity.com/insights/your-source-for-2016-louisiana-state-withholding-taxes","/your-source-for-2016-louisiana-state-withholding-taxes"
483,"indiana payroll taxes",0,0,0,1,"https://www.paycheckcity.com/insights/indiana-payroll-taxes","/indiana-payroll-taxes"
484,"here are the 2016 state taxes of hawaii",0,0,0,1,"https://www.paycheckcity.com/insights/here-are-the-2016-state-taxes-of-hawaii","/here-are-the-2016-state-taxes-of-hawaii"
485,"what arizona state taxes look like in 2016",0,0,0,1,"https://www.paycheckcity.com/insights/what-arizona-state-taxes-look-like-in-2016","/what-arizona-state-taxes-look-like-in-2016"
486,"national payroll week",0,0,0,1,"https://www.paycheckcity.com/insights/national-payroll-week","/national-payroll-week"
487,"income tax forms",0,0,0,1,"https://www.paycheckcity.com/small-business-guide/starting-your-business/income-tax-forms","/income-tax-forms"
488,"download payroll calendar",0,0,0,1,"https://www.paycheckcity.com/small-business-guide/download-payroll-calendar","/download-payroll-calendar"
489,"student loan repayment",0,0,0,1,"http://www.calcxml.com/calculators/student-loan-repayment","/student-loan-repayment"
490,"parent plus loan",0,0,0,1,"http://www.calcxml.com/calculators/parent-plus-loan","/parent-plus-loan"
491,"pay off loan",0,0,0,1,"http://www.calcxml.com/calculators/pay-off-loan","/pay-off-loan"
492,"loan payment calculator",0,0,0,1,"http://www.calcxml.com/calculators/loan-payment-calculator","/loan-payment-calculator"
493,"loan comparison calculator",0,0,0,1,"http://www.calcxml.com/calculators/loan-comparison-calculator","/loan-comparison-calculator"
494,"tax freedom day",0,0,0,1,"http://www.calcxml.com/calculators/tax-freedom-day","/tax-freedom-day"
495,"income test drive",0,0,0,1,"https://www.tiaa.org/public/retire/financial-products/annuities/retirement-plan-annuities/income-test-drive","/income-test-drive"
496,"building a solid foundation for your retirement ias",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/building-a-solid-foundation-for-your-retirement_IAS","/building-a-solid-foundation-for-your-retirement-ias"
497,"life insurance retirement plan to protect your legacy",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/life-insurance-retirement-plan-to-protect-your-legacy","/life-insurance-retirement-plan-to-protect-your-legacy"
498,"finding an extra 1000 to save for retirement",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/finding-an-extra-1000-to-save-for-retirement","/finding-an-extra-1000-to-save-for-retirement"
499,"tax sticker shock",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/tax-sticker-shock","/tax-sticker-shock"
500,"discover the value of retirement fluency and advice",0,0,0,1,"https://www.tiaa.org/public/learn/discover-the-value-of-retirement-fluency-and-advice","/discover-the-value-of-retirement-fluency-and-advice"
501,"living to 100 retirement planning longevity financial security",0,0,0,1,"https://www.tiaa.org/public/learn/financial-essentials/living-to-100-retirement-planning-longevity-financial-security","/living-to-100-retirement-planning-longevity-financial-security"
502,"rmd tax guide",0,0,0,1,"https://www.tiaa.org/public/learn/financial-essentials/rmd-tax-guide","/rmd-tax-guide"
503,"retirement plan beneficiaries what why how to update",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-plan-beneficiaries-what-why-how-to-update","/retirement-plan-beneficiaries-what-why-how-to-update"
504,"gen z millenial retirement and financial anxiety study",0,0,0,1,"https://www.tiaa.org/public/plansponsors/insights/tmrw/edition-2/gen-z-millenial-retirement-and-financial-anxiety-study","/gen-z-millenial-retirement-and-financial-anxiety-study"
505,"ask a consultant retirement planning questions and answers",0,0,0,1,"https://www.tiaa.org/public/plansponsors/insights/tmrw/edition-2/ask-a-consultant-retirement-planning-questions-and-answers","/ask-a-consultant-retirement-planning-questions-and-answers"
506,"bring back retirement security bret hester general counsel",0,0,0,1,"https://www.tiaa.org/public/plansponsors/insights/tmrw/edition-4/bring-back-retirement-security-bret-hester-general-counsel","/bring-back-retirement-security-bret-hester-general-counsel"
507,"secure income account",0,0,0,1,"https://www.tiaa.org/public/plansponsors/support/secure-income-account","/secure-income-account"
508,"lifetime income leader",0,0,0,1,"https://www.tiaa.org/public/plansponsors/lifetime-income-leader","/lifetime-income-leader"
509,"2017 personal finance index new measure financial literacy",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2017/2017-personal-finance-index-new-measure-financial-literacy","/2017-personal-finance-index-new-measure-financial-literacy"
510,"achieving success postsecondary education facts about student debt",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2017/achieving-success-postsecondary-education-facts-about-student-debt","/achieving-success-postsecondary-education-facts-about-student-debt"
511,"defined contribution retirement plan design and employer default",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2018/defined-contribution-retirement-plan-design-and-employer-default","/defined-contribution-retirement-plan-design-and-employer-default"
512,"potential vs realized savings under automatic enrollment 0",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2018/potential-vs-realized-savings-under-automatic-enrollment-0","/potential-vs-realized-savings-under-automatic-enrollment-0"
513,"effect default target date funds retirement savings allocations",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2019/effect-default-target-date-funds-retirement-savings-allocations","/effect-default-target-date-funds-retirement-savings-allocations"
514,"financial well being and retirement readiness higher education",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2019/financial-well-being-and-retirement-readiness-higher-education","/financial-well-being-and-retirement-readiness-higher-education"
515,"do mandatory retirement contributions crowd out voluntary contributions",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2020/do-mandatory-retirement-contributions-crowd-out-voluntary-contributions","/do-mandatory-retirement-contributions-crowd-out-voluntary-contributions"
516,"using behavioral prompts improve saving and investment decisions",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2020/using-behavioral-prompts-improve-saving-and-investment-decisions","/using-behavioral-prompts-improve-saving-and-investment-decisions"
517,"shoring shortfalls women retirement and growing gigsupp economy",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2021/shoring-shortfalls-women-retirement-and-growing-gigsupp-economy","/shoring-shortfalls-women-retirement-and-growing-gigsupp-economy"
518,"leveraging higher education real estate assets strategy success",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2022/leveraging-higher-education-real-estate-assets-strategy-success","/leveraging-higher-education-real-estate-assets-strategy-success"
519,"differences retirement preparedness and security race and ethnicity",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2022/differences-retirement-preparedness-and-security-race-and-ethnicity","/differences-retirement-preparedness-and-security-race-and-ethnicity"
520,"trends retirement readiness gender gap among tiaa participants",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2022/trends-retirement-readiness-gender-gap-among-tiaa-participants","/trends-retirement-readiness-gender-gap-among-tiaa-participants"
521,"should women just delay retirement and work longer",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2023/should-women-just-delay-retirement-and-work-longer","/should-women-just-delay-retirement-and-work-longer"
522,"registered index linked annuities in qualified retirement plans",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2023/registered-index-linked-annuities-in-qualified-retirement-plans","/registered-index-linked-annuities-in-qualified-retirement-plans"
523,"racial disparities in overdue debt among older adults",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2024/racial-disparities-in-overdue-debt-among-older-adults","/racial-disparities-in-overdue-debt-among-older-adults"
524,"retirement income brief",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2025/retirement-income-brief","/retirement-income-brief"
525,"2023 fellows symposium enhancing financial wellness in retiremen",0,0,0,1,"https://www.tiaa.org/public/institute/about/events/2023-fellows-symposium-enhancing-financial-wellness-in-retiremen","/2023-fellows-symposium-enhancing-financial-wellness-in-retiremen"
526,"improving outcomes boosting financial resilience and retirement readiness",0,0,0,1,"https://www.tiaa.org/public/institute/about/events/improving-outcomes-boosting-financial-resilience-and-retirement-readiness","/improving-outcomes-boosting-financial-resilience-and-retirement-readiness"
527,"higher ed employees most value retirement savings plans",0,0,0,1,"https://www.tiaa.org/public/institute/about/news/higher-ed-employees-most-value-retirement-savings-plans","/higher-ed-employees-most-value-retirement-savings-plans"
528,"ira contribution eligibility",0,0,0,1,"https://www.tiaa.org/public/tools-calculators/ira-contribution-eligibility","/ira-contribution-eligibility"
529,"retirement loan calculator",0,0,0,1,"https://www.tiaa.org/public/tools-calculators/retirement-loan-calculator","/retirement-loan-calculator"
530,"tax planning opportunities",0,0,0,1,"https://www.tiaa.org/public/transitioners/tax-planning-opportunities","/tax-planning-opportunities"
531,"social security webinar",0,0,0,1,"https://www.tiaa.org/public/transitioners/social-security-webinar","/social-security-webinar"
532,"embrace learning going back to school in retirement",0,0,0,1,"https://www.tiaa.org/public/transitioners/embrace-learning--going-back-to-school-in-retirement","/embrace-learning-going-back-to-school-in-retirement"
533,"retirement income plan",0,0,0,1,"https://www.tiaa.org/public/education/essentials/workplace-retirement-plan/retirement-income-plan","/retirement-income-plan"
534,"how financial advice improves money management habits confidence",0,0,0,1,"https://www.tiaa.org/public/institute/about/news/how-financial-advice-improves-money-management-habits-confidence","/how-financial-advice-improves-money-management-habits-confidence"
535,"mortgage application process",0,0,0,1,"https://www.tiaa.org/public/learn/life-milestones/mortgage-application-process","/mortgage-application-process"
536,"6 retirement myths that can derail your planning",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-planning-and-beyond/managing-your-money/6-retirement-myths-that-can-derail-your-planning","/6-retirement-myths-that-can-derail-your-planning"
537,"harvard payroll calendar",0,0,0,1,"https://www.tiaa.org/public/land/harvard_payroll_calendar","/harvard-payroll-calendar"
538,"replace your income",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-planning-and-beyond/replace-your-income","/replace-your-income"
539,"ira rollover process",0,0,0,1,"https://www.tiaa.org/public/land/ira-rollover-process","/ira-rollover-process"
540,"rollover your ira",0,0,0,1,"https://www.tiaa.org/public/land/products/iras/rollover-your-ira","/rollover-your-ira"
541,"shifting budget to workplace changes during covid 19",0,0,0,1,"https://www.tiaa.org/public/learn/prepare-unexpected/shifting-budget-to-workplace-changes-during-COVID-19","/shifting-budget-to-workplace-changes-during-covid-19"
542,"shifting budget to workplace changes during covid 190",0,0,0,1,"https://www.tiaa.org/public/learn/prepare-unexpected/shifting-budget-to-workplace-changes-during-COVID-190","/shifting-budget-to-workplace-changes-during-covid-190"
543,"401k max contribution",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-planning-and-beyond/401k-max-contribution","/401k-max-contribution"
544,"retirement income planning",0,0,0,1,"https://www.tiaa.org/public/education/essentials/annuitization/retirement-income-planning","/retirement-income-planning"
545,"annuity income tax",0,0,0,1,"https://www.tiaa.org/public/education/essentials/annuitization/annuity-income-tax","/annuity-income-tax"
546,"find an ira",0,0,0,1,"https://www.tiaa.org/public/learn/tools/iraselector/find-an-ira","/find-an-ira"
547,"corporate sponsored mortgage",0,0,0,1,"https://www.wellsfargo.com/cib/corporate-sponsored-mortgage/","/corporate-sponsored-mortgage"
548,"fintech baas shift banking strategies improve compliance scalability",0,0,0,1,"https://www.wellsfargo.com/com/insights/fintech-baas-shift-banking-strategies-improve-compliance-scalability/","/fintech-baas-shift-banking-strategies-improve-compliance-scalability"
549,"future proof your sales pipeline with channel finance",0,0,0,1,"https://www.wellsfargo.com/com/insights/future-proof-your-sales-pipeline-with-channel-finance/","/future-proof-your-sales-pipeline-with-channel-finance"
550,"getting a loan",0,0,0,1,"https://www.wellsfargo.com/es/goals-credit/smarter-credit/credit-101/getting-a-loan/","/getting-a-loan"
551,"automatic mortgage payments",0,0,0,1,"https://www.wellsfargo.com/es/mortgage/manage-account/automatic-mortgage-payments/","/automatic-mortgage-payments"
552,"personal loan faqs",0,0,0,1,"https://www.wellsfargo.com/help/loans/personal-loan-faqs/","/personal-loan-faqs"
553,"private mortgage banking",0,0,0,1,"https://www.wellsfargo.com/mortgage/private-mortgage-banking/","/private-mortgage-banking"
554,"buying a home with a low down payment",0,0,0,1,"https://www.wellsfargo.com/mortgage/learn/buying-a-home-with-a-low-down-payment/","/buying-a-home-with-a-low-down-payment"
555,"compare mortgage lenders",0,0,0,1,"https://www.wellsfargo.com/mortgage/learn/compare-mortgage-lenders/","/compare-mortgage-lenders"
556,"mortgage self employed",0,0,0,1,"https://www.wellsfargo.com/mortgage/learn/mortgage-self-employed/","/mortgage-self-employed"
557,"adjustable rate mortgage",0,0,0,1,"https://www.wellsfargo.com/mortgage/loan-programs/adjustable-rate-mortgage/","/adjustable-rate-mortgage"
558,"fixed rate mortgage",0,0,0,1,"https://www.wellsfargo.com/mortgage/loan-programs/fixed-rate-mortgage/","/fixed-rate-mortgage"
559,"mortgage assistance application",0,0,0,1,"https://www.wellsfargo.com/mortgage/manage-account/payment-help/mortgage-assistance-application/","/mortgage-assistance-application"
560,"guaranteed income video",0,0,0,1,"https://www.fidelity.com/annuities/guaranteed-income-video","/guaranteed-income-video"
561,"investor center boston back bay boston massachusetts 02116",0,0,0,1,"https://www.fidelity.com/branches/investor-center-boston-back-bay-boston-massachusetts-02116","/investor-center-boston-back-bay-boston-massachusetts-02116"
562,"investor center boston congress street boston massachusetts 02110",0,0,0,1,"https://www.fidelity.com/branches/investor-center-boston-congress-street-boston-massachusetts-02110","/investor-center-boston-congress-street-boston-massachusetts-02110"
563,"investor center brea orange county brea california 92821",0,0,0,1,"https://www.fidelity.com/branches/investor-center-brea-orange-county-brea-california-92821","/investor-center-brea-orange-county-brea-california-92821"
564,"investor center chicago gold coast chicago illinois 60611",0,0,0,1,"https://www.fidelity.com/branches/investor-center-chicago-gold-coast-chicago-illinois-60611","/investor-center-chicago-gold-coast-chicago-illinois-60611"
565,"investor center chicago north lasalle chicago illinois 60602",0,0,0,1,"https://www.fidelity.com/branches/investor-center-chicago-north-lasalle-chicago-illinois-60602","/investor-center-chicago-north-lasalle-chicago-illinois-60602"
566,"investor center del mar san diego california 92130",0,0,0,1,"https://www.fidelity.com/branches/investor-center-del-mar-san-diego-california-92130","/investor-center-del-mar-san-diego-california-92130"
567,"investor center denver south lone tree colorado 80124",0,0,0,1,"https://www.fidelity.com/branches/investor-center-denver-south-lone-tree-colorado-80124","/investor-center-denver-south-lone-tree-colorado-80124"
568,"investor center denver west s teller colorado 80226",0,0,0,1,"https://www.fidelity.com/branches/investor-center-denver-west-s-teller-colorado-80226","/investor-center-denver-west-s-teller-colorado-80226"
569,"investor center hilton head island south carolina 29926",0,0,0,1,"https://www.fidelity.com/branches/investor-center-hilton-head-island-south-carolina-29926","/investor-center-hilton-head-island-south-carolina-29926"
570,"investor center houston highland village houston texas 77027",0,0,0,1,"https://www.fidelity.com/branches/investor-center-houston-highland-village-houston-texas-77027","/investor-center-houston-highland-village-houston-texas-77027"
571,"investor center houston memorial drive houston texas 77024",0,0,0,1,"https://www.fidelity.com/branches/investor-center-houston-memorial-drive-houston-texas-77024","/investor-center-houston-memorial-drive-houston-texas-77024"
572,"investor center irvine newport beach irvine california 92612",0,0,0,1,"https://www.fidelity.com/branches/investor-center-irvine-newport-beach-irvine-california-92612","/investor-center-irvine-newport-beach-irvine-california-92612"
573,"investor center irving las colinas irving texas 75039",0,0,0,1,"https://www.fidelity.com/branches/investor-center-irving-las-colinas-irving-texas-75039","/investor-center-irving-las-colinas-irving-texas-75039"
574,"investor center kansas city overland park kansas 66211",0,0,0,1,"https://www.fidelity.com/branches/investor-center-kansas-city-overland-park-kansas-66211","/investor-center-kansas-city-overland-park-kansas-66211"
575,"investor center la south bay torrance california 90503",0,0,0,1,"https://www.fidelity.com/branches/investor-center-la-south-bay-torrance-california-90503","/investor-center-la-south-bay-torrance-california-90503"
576,"investor center lehigh valley center valley pennsylvania 18034",0,0,0,1,"https://www.fidelity.com/branches/investor-center-lehigh-valley-center-valley-pennsylvania-18034","/investor-center-lehigh-valley-center-valley-pennsylvania-18034"
577,"investor center nyc bryant park new york 10036",0,0,0,1,"https://www.fidelity.com/branches/investor-center-nyc-bryant-park-new-york-10036","/investor-center-nyc-bryant-park-new-york-10036"
578,"investor center nyc lincoln center new york 10023",0,0,0,1,"https://www.fidelity.com/branches/investor-center-nyc-lincoln-center-new-york-10023","/investor-center-nyc-lincoln-center-new-york-10023"
579,"investor center nyc park ave new york 10022",0,0,0,1,"https://www.fidelity.com/branches/investor-center-nyc-park-ave-new-york-10022","/investor-center-nyc-park-ave-new-york-10022"
580,"investor center nyc wall street new york 10006",0,0,0,1,"https://www.fidelity.com/branches/investor-center-nyc-wall-street-new-york-10006","/investor-center-nyc-wall-street-new-york-10006"
581,"investor center pittsburgh south hills pittsburgh pennsylvania 15241",0,0,0,1,"https://www.fidelity.com/branches/investor-center-pittsburgh-south-hills-pittsburgh-pennsylvania-15241","/investor-center-pittsburgh-south-hills-pittsburgh-pennsylvania-15241"
582,"investor center portland bridgeport village tigard oregon 97224",0,0,0,1,"https://www.fidelity.com/branches/investor-center-portland-bridgeport-village-tigard-oregon-97224","/investor-center-portland-bridgeport-village-tigard-oregon-97224"
583,"investor center red bank shrewsbury new jersey 07702",0,0,0,1,"https://www.fidelity.com/branches/investor-center-red-bank-shrewsbury-new-jersey-07702","/investor-center-red-bank-shrewsbury-new-jersey-07702"
584,"fidelity crypto ira",0,0,0,1,"https://www.fidelity.com/crypto/help/account-basics/fidelity-crypto-ira","/fidelity-crypto-ira"
585,"find tax lots",0,0,0,1,"https://www.fidelity.com/crypto/help/find-tax-lots","/find-tax-lots"
586,"tax information forms",0,0,0,1,"https://www.fidelity.com/crypto/help/taxes-ira/tax-information-forms","/tax-information-forms"
587,"compare income products",0,0,0,1,"https://www.fidelity.com/fixed-income-bonds/compare-income-products","/compare-income-products"
588,"fixed income annuities",0,0,0,1,"https://www.fidelity.com/fixed-income-bonds/fixed-income-annuities","/fixed-income-annuities"
589,"fixed income alerts",0,0,0,1,"https://www.fidelity.com/fixed-income-bonds/fixed-income-tools-services/fixed-income-alerts","/fixed-income-alerts"
590,"reverse mortgage scams",0,0,0,1,"https://www.fidelity.com/insights/retirement/reverse-mortgage-scams","/reverse-mortgage-scams"
591,"roth ira conversion",0,0,0,1,"https://www.fidelity.com/insights/retirement/roth-ira-conversion","/roth-ira-conversion"
592,"etfs tax efficiency",0,0,0,1,"https://www.fidelity.com/learning-center/investment-products/etf/etfs-tax-efficiency","/etfs-tax-efficiency"
593,"tax basics etfs",0,0,0,1,"https://www.fidelity.com/learning-center/investment-products/etf/tax-basics-etfs","/tax-basics-etfs"
594,"mortgage backed securities",0,0,0,1,"https://www.fidelity.com/learning-center/investment-products/fixed-income-bonds/mortgage-backed-securities","/mortgage-backed-securities"
595,"home loan strategies",0,0,0,1,"https://www.fidelity.com/learning-center/life-events/home-loan-strategies","/home-loan-strategies"
596,"how to retire",0,0,0,1,"https://www.fidelity.com/learning-center/life-events/how-to-retire","/how-to-retire"
597,"new ways to save on taxes this year",0,0,0,1,"https://www.fidelity.com/learning-center/money-unscripted/new-ways-to-save-on-taxes-this-year","/new-ways-to-save-on-taxes-this-year"
598,"401k rollover mistakes",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/401k-rollover-mistakes","/401k-rollover-mistakes"
599,"backdoor roth ira",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/backdoor-roth-ira","/backdoor-roth-ira"
600,"child tax credit",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/child-tax-credit","/child-tax-credit"
601,"estimate retirement income",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/estimate-retirement-income","/estimate-retirement-income"
602,"how to save and invest your first 100000",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/how-to-save-and-invest-your-first-100000","/how-to-save-and-invest-your-first-100000"
603,"hsa tax form",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/hsa-tax-form","/hsa-tax-form"
604,"investing your ira",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/investing-your-ira","/investing-your-ira"
605,"1099 tax form",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/managing-taxes/1099-tax-form","/1099-tax-form"
606,"tax smart strategies",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/managing-taxes/tax-smart-strategies","/tax-smart-strategies"
607,"maximize social security",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/maximize-social-security","/maximize-social-security"
608,"retire better 40s",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/retire-better-40s","/retire-better-40s"
609,"retire better 50s",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/retire-better-50s","/retire-better-50s"
